assigner,ef_search,refine_k,ef_construction,hnsw_M,projection_dim,kd_leaf_size,kd_split,base_add_ms,ann_add_ms,speedup,mismatch_rate,status,error_message
kd,128,128,, ,16,64,Variance,1455.2545,2617.1175,0.5561,0.0000,ok,
kd,128,128,, ,16,128,Variance,1548.5664,2260.1199,0.6852,0.0000,ok,
kd,128,128,, ,16,256,Variance,1451.3318,2022.3558,0.7176,0.0000,ok,
kd,128,128,, ,16,512,Variance,1556.4611,1938.9247,0.8027,0.0000,ok,
proj,128,128,, ,16,, ,1438.2731,19657.6210,0.0732,0.8937,ok,
proj,192,96,, ,16,, ,1480.1511,15773.8913,0.0938,0.9273,ok,
hnsw,96,64,200,16,, , ,1454.6920,3099.9046,0.4693,0.2215,ok,
hnsw,96,96,200,16,, , ,1459.9272,4315.4487,0.3383,0.1654,ok,
hnsw,96,128,200,16,, , ,1589.6599,3855.3770,0.4123,0.1654,ok,
hnsw,96,192,200,16,, , ,1458.2373,4113.4358,0.3545,0.1654,ok,
hnsw,128,64,200,16,, , ,1464.7005,3131.2161,0.4678,0.2215,ok,
hnsw,128,96,200,16,, , ,1536.5417,3880.0014,0.3960,0.1654,ok,
hnsw,128,128,200,16,, , ,1508.1009,4696.8333,0.3211,0.1283,ok,
hnsw,128,192,200,16,, , ,1530.5608,6594.3503,0.2321,0.1283,ok,
hnsw,192,64,200,16,, , ,1466.1054,3584.3671,0.4090,0.2215,ok,
hnsw,192,96,200,16,, , ,1465.6915,4492.0084,0.3263,0.1654,ok,
hnsw,192,128,200,16,, , ,1465.9760,5502.1118,0.2664,0.1283,ok,
hnsw,192,192,200,16,, , ,1474.1717,7397.5560,0.1993,0.0883,ok,

